pair,label,source,same_category,split,score_title_description,score_title_only
P219,non_duplicate,"generated: different categories",false,train,0.0323,0
P220,non_duplicate,"generated: different categories",false,test,0.1935,0
P221,non_duplicate,"generated: different categories",false,train,0.1071,0
P222,non_duplicate,"generated: different categories",false,test,0.04,0
P223,non_duplicate,"generated: different categories",false,test,0.0645,0
P224,non_duplicate,"generated: different categories",false,test,0.1111,0
P225,non_duplicate,"generated: different categories",false,test,0,0
P226,non_duplicate,"generated: different categories",false,train,0,0
P227,non_duplicate,"generated: different categories",false,train,0.12,0
P228,non_duplicate,"generated: different categories",false,test,0.0476,0
P229,non_duplicate,"generated: different categories",false,test,0.1481,0.2
P230,non_duplicate,"generated: different categories",false,train,0,0
P231,non_duplicate,"generated: different categories",false,train,0.0417,0
P232,non_duplicate,"generated: different categories",false,train,0.0625,0
P233,non_duplicate,"generated: different categories",false,train,0.0645,0
P234,non_duplicate,"generated: different categories",false,train,0.0769,0
P235,non_duplicate,"generated: different categories",false,test,0,0
P236,non_duplicate,"generated: different categories",false,test,0.0714,0
P237,non_duplicate,"generated: different categories",false,test,0,0
P238,non_duplicate,"generated: different categories",false,train,0,0
P239,non_duplicate,"generated: different categories",false,train,0.0435,0
P240,non_duplicate,"generated: different categories",false,train,0,0
P241,non_duplicate,"generated: different categories",false,test,0,0
P242,non_duplicate,"generated: different categories",false,train,0.0385,0
P243,non_duplicate,"generated: different categories",false,train,0.069,0
P244,non_duplicate,"generated: different categories",false,train,0.0435,0
P245,non_duplicate,"generated: different categories",false,train,0.1,0
P246,non_duplicate,"generated: different categories",false,train,0.0667,0
P247,non_duplicate,"generated: different categories",false,test,0.2414,0
P248,non_duplicate,"generated: different categories",false,train,0.1333,0
P249,non_duplicate,"generated: different categories",false,train,0.0417,0.2
P250,non_duplicate,"generated: different categories",false,train,0.1818,0
P251,non_duplicate,"generated: different categories",false,train,0,0
P252,non_duplicate,"generated: different categories",false,train,0.12,0
P253,non_duplicate,"generated: different categories",false,train,0.0714,0
P254,non_duplicate,"generated: different categories",false,test,0.15,0
P255,non_duplicate,"generated: different categories",false,train,0,0
P256,non_duplicate,"generated: different categories",false,test,0.0769,0
P257,non_duplicate,"generated: different categories",false,test,0.0667,0
P258,non_duplicate,"generated: different categories",false,test,0.05,0
P259,non_duplicate,"generated: different categories",false,train,0.0323,0
P260,non_duplicate,"generated: different categories",false,train,0.0345,0.1429
P261,non_duplicate,"generated: different categories",false,test,0,0
P262,non_duplicate,"generated: different categories",false,test,0.0333,0
P263,non_duplicate,"generated: different categories",false,train,0,0
P264,non_duplicate,"generated: different categories",false,test,0,0
P265,non_duplicate,"generated: different categories",false,test,0,0
P266,non_duplicate,"generated: different categories",false,test,0.0938,0
P267,non_duplicate,"generated: different categories",false,train,0,0
P268,non_duplicate,"generated: different categories",false,train,0.0333,0
P269,non_duplicate,"generated: different categories",false,train,0.1379,0
P270,non_duplicate,"generated: different categories",false,test,0.129,0
P271,non_duplicate,"generated: different categories",false,train,0,0
P272,non_duplicate,"generated: different categories",false,train,0.0968,0
P273,non_duplicate,"generated: different categories",false,test,0.0909,0
P274,non_duplicate,"generated: different categories",false,train,0,0
P275,non_duplicate,"generated: different categories",false,train,0.0833,0
P276,non_duplicate,"generated: different categories",false,train,0.04,0
P277,non_duplicate,"generated: different categories",false,train,0.0645,0
P278,non_duplicate,"generated: different categories",false,train,0.0625,0
P279,non_duplicate,"generated: different categories",false,test,0.0769,0
P280,non_duplicate,"generated: different categories",false,train,0.1034,0
P281,non_duplicate,"generated: different categories",false,train,0,0
P282,non_duplicate,"generated: different categories",false,train,0,0
P283,non_duplicate,"generated: different categories",false,train,0.0385,0
P284,non_duplicate,"generated: different categories",false,train,0.0909,0
P285,non_duplicate,"generated: different categories",false,test,0.1034,0
P286,non_duplicate,"generated: different categories",false,train,0,0
P287,non_duplicate,"generated: different categories",false,train,0.1739,0
P288,non_duplicate,"generated: different categories",false,train,0.1563,0
P289,non_duplicate,"generated: different categories",false,test,0.125,0
P290,non_duplicate,"generated: different categories",false,train,0.0345,0
P291,non_duplicate,"generated: different categories",false,test,0.08,0
P292,non_duplicate,"generated: different categories",false,train,0.125,0
P293,non_duplicate,"generated: different categories",false,train,0.08,0
P294,non_duplicate,"generated: different categories",false,train,0.037,0
P295,non_duplicate,"generated: different categories",false,train,0,0
P296,non_duplicate,"generated: different categories",false,test,0.0303,0
P297,non_duplicate,"generated: different categories",false,test,0.0323,0
P298,non_duplicate,"generated: different categories",false,train,0.0345,0
P299,non_duplicate,"generated: different categories",false,train,0.1154,0
P300,non_duplicate,"generated: different categories",false,train,0,0
