id,arrival_s,category,handling_s,impact,urgency,tier,waited_h
T0060,7160,account,6375,1,2,enterprise,3.8
T0061,7225,general,4288,2,1,standard,55.3
T0062,7382,billing,1554,3,4,premium,53.9
T0063,7415,network,7272,1,3,standard,51.3
T0064,7498,technical,1908,3,3,standard,92
T0065,7723,technical,16966,2,3,standard,47.3
T0066,7733,billing,4981,1,4,standard,90.8
T0067,7916,billing,14432,2,2,enterprise,5.4
T0068,8076,account,6607,2,3,premium,80.3
T0069,8318,hardware,2999,1,4,standard,85.6
T0070,8337,account,1434,3,4,premium,84.5
T0071,8369,general,4840,4,4,premium,46.2
T0072,8426,network,1544,2,3,standard,24.4
T0073,8489,account,7294,4,4,premium,71.4
T0074,8626,technical,2760,3,4,standard,50.7
T0075,8695,hardware,20586,4,1,standard,4.2
T0076,9005,general,1575,3,3,standard,16
T0077,9034,technical,29593,1,2,standard,70.8
T0078,9330,general,322,4,2,standard,32.2
T0079,9353,network,2654,2,4,standard,34.6
T0080,9389,account,177,1,1,standard,57.9
T0081,9427,billing,428,1,2,standard,55.8
T0082,9729,billing,11301,2,3,standard,39.5
T0083,9909,account,22782,1,3,premium,37.7
T0084,10121,account,354,2,1,standard,1.3
T0085,10130,network,4127,3,1,enterprise,56.2
T0086,10286,hardware,2563,1,1,standard,24.1
T0087,10324,technical,11370,1,4,standard,25.8
T0088,10327,account,3492,2,3,standard,78.4
T0089,10740,billing,8474,1,1,standard,40.4
T0090,10924,network,8829,3,3,premium,94.1
T0091,11037,network,4370,3,3,premium,52.6
T0092,11109,general,1910,3,2,premium,76.5
T0093,11182,hardware,7911,4,4,standard,59.6
T0094,11234,technical,4680,4,3,standard,44.2
T0095,11339,technical,6460,4,4,premium,39.5
T0096,11588,account,19526,2,1,standard,78.9
T0097,11639,technical,175,1,2,standard,34.2
T0098,11908,billing,2163,1,3,standard,46.2
T0099,12048,account,922,3,4,standard,83.4
T0100,12059,account,23151,3,3,enterprise,22.7
T0101,12230,account,6884,1,2,standard,12.8
T0102,12369,hardware,7478,3,4,premium,34
T0103,12430,billing,7221,1,4,standard,80.7
T0104,12441,account,1434,1,1,standard,34.1
T0105,12567,account,4739,3,2,standard,56.3
T0106,12667,technical,2223,2,4,premium,23.5
T0107,12749,technical,14653,1,1,standard,35.1
T0108,12830,general,497,2,2,standard,80.9
T0109,12836,billing,6447,4,4,premium,55.3
T0110,13135,billing,19934,1,2,premium,78.8
T0111,13287,account,3496,3,1,standard,92.9
T0112,13436,billing,7197,1,4,premium,73.7
T0113,13447,account,14518,4,1,standard,35.4
T0114,13520,account,4299,4,2,premium,8.4
T0115,13538,billing,670,3,3,premium,76.3
T0116,13551,general,7400,4,2,enterprise,95.1
T0117,13579,technical,14093,4,4,standard,75
T0118,13790,hardware,8678,2,3,standard,22.6
T0119,13911,general,2052,1,2,premium,43.4
T0120,14061,general,5284,2,1,standard,55.4
T0121,14114,technical,4099,2,1,standard,52.1
T0122,14181,technical,7081,4,2,standard,84.3
T0123,14263,network,4597,4,1,premium,67.9
T0124,14444,billing,1236,2,2,standard,72.4
T0125,14457,account,2571,4,1,premium,48.2
T0126,14550,account,2840,4,1,standard,57.5
T0127,14650,network,4935,1,4,enterprise,32.9
T0128,14681,technical,1834,2,3,enterprise,13.4
T0129,14694,technical,6993,4,3,standard,88.2
T0130,14882,billing,5690,2,1,standard,6.6
T0131,14891,billing,9911,2,3,standard,22.6
T0132,14913,billing,9812,1,1,standard,21.8
T0133,15025,technical,7363,1,2,premium,58
T0134,15040,technical,10754,3,2,standard,46.2
T0135,15341,account,180,4,3,standard,55.5
T0136,15362,billing,2015,1,1,standard,21.1
T0137,15391,account,20038,4,1,standard,82.6
T0138,15483,billing,1923,1,4,standard,41
T0139,15676,technical,3410,1,1,standard,80.3
T0140,15782,technical,6761,3,2,standard,46.2
T0141,15865,hardware,587,1,4,standard,72.3
T0142,15903,general,4038,4,1,enterprise,80.6
T0143,16145,technical,4333,3,3,standard,48.5
T0144,16253,technical,4550,3,3,standard,69.2
T0145,16450,general,4991,4,2,enterprise,90.7
T0146,16468,technical,2114,4,2,premium,70.6
T0147,16694,billing,11292,4,1,premium,87.4
T0148,16812,technical,9415,2,3,standard,79.7
T0149,16863,hardware,2433,2,1,standard,93.6
T0150,17044,billing,4505,4,3,standard,17.5
T0151,17124,account,7309,4,2,standard,20.9
T0152,17248,technical,766,2,1,premium,65.6
T0153,17455,account,9114,4,1,standard,38.9
T0154,17538,network,609,2,2,standard,25.6
T0155,17696,technical,5414,1,1,standard,80.5
T0156,17758,hardware,2961,4,2,enterprise,17.7
T0157,17770,hardware,382,1,3,standard,87.9
T0158,17923,network,16103,2,3,enterprise,13
T0159,18002,technical,4191,4,3,premium,81.3
T0160,18375,billing,5273,2,2,standard,33.7
T0161,18439,network,4925,2,1,standard,7.5
T0162,18439,general,60,2,4,standard,77.5
T0163,18832,hardware,6334,3,1,standard,92
T0164,19003,network,7685,3,1,premium,94.1
T0165,19283,network,6380,2,1,premium,4.2
T0166,19389,general,4382,1,2,standard,11.6
T0167,19547,billing,661,2,3,premium,71.5
T0168,19554,account,3991,2,3,premium,35
T0169,19653,account,11679,1,3,standard,38.8
T0170,19754,hardware,4175,1,2,premium,49.9
T0171,19821,general,2918,3,3,enterprise,0
T0172,19846,technical,14564,3,3,standard,5.1
T0173,19857,billing,3529,1,4,standard,38.2
T0174,19869,technical,3992,1,1,standard,44.9
T0175,19911,general,6789,2,1,standard,87.4
T0176,19916,billing,2684,4,4,enterprise,76.6
T0177,19952,account,21794,4,3,premium,86.8
T0178,20496,network,363,3,4,premium,22.1
T0179,20709,billing,260,2,1,standard,91.9
T0180,20919,hardware,5366,3,3,standard,57.3
T0181,21008,technical,3910,2,2,enterprise,86.2
T0182,21083,network,7440,3,1,premium,82.6
T0183,21156,technical,1721,4,1,standard,81.8
T0184,21160,technical,14484,1,3,standard,24.3
T0185,21161,network,270,2,2,enterprise,10.5
T0186,21431,general,343,4,1,standard,87
T0187,21532,network,4238,3,1,premium,50
T0188,21776,technical,924,3,4,standard,22.9
T0189,22095,billing,6483,2,4,premium,92.3
T0190,22170,general,60,2,4,standard,87.2
T0191,22170,account,7631,1,4,standard,8.1
T0192,22218,account,665,3,2,standard,78.6
T0193,22234,technical,100,2,1,premium,37.6
T0194,22258,hardware,8397,4,4,premium,90.9
T0195,22280,hardware,6658,2,2,standard,7.2
T0196,22509,general,6087,1,4,premium,57.1
T0197,22567,billing,9305,2,3,premium,24.2
T0198,22567,billing,3413,1,4,standard,82
T0199,22657,hardware,1914,4,4,premium,22.1
T0200,22674,general,17838,4,4,premium,87.3
T0201,22908,general,7709,1,1,standard,30.8
T0202,23063,network,1207,4,1,premium,54
T0203,23139,account,937,2,1,standard,14.8
T0204,23212,account,97,3,1,standard,87.5
T0205,23623,billing,3348,1,2,standard,58.3
T0206,23657,account,1380,1,4,premium,31.3
T0207,23764,technical,22450,1,1,standard,65.3
T0208,23824,general,6911,4,3,premium,91.5
T0209,24111,network,7468,4,1,standard,54.8
T0210,24113,account,1275,4,1,premium,90.4
T0211,24122,account,11565,1,2,premium,34.3
T0212,24168,general,1211,2,2,premium,4
T0213,24302,general,716,3,3,standard,59.2
T0214,24416,technical,14777,4,4,premium,75.2
T0215,24529,account,5839,4,4,standard,75.2
T0216,24608,billing,967,2,2,premium,57
T0217,24734,account,5165,2,3,standard,71.5
T0218,24981,technical,241,3,4,standard,62.7
T0219,25029,account,3671,3,4,standard,21.2
T0220,25094,technical,9911,4,1,enterprise,39.9
T0221,25319,network,7178,4,2,standard,52.2
T0222,25405,account,161,1,2,premium,57.4
T0223,25594,network,26164,3,2,standard,36.8
T0224,25670,hardware,1452,3,2,standard,57.8
T0225,25790,technical,3881,3,1,standard,42
T0226,25802,technical,4853,4,3,premium,9.1
T0227,25929,technical,2750,2,3,standard,56.5
T0228,26038,technical,1461,3,3,premium,42.4
T0229,26086,technical,5977,2,1,standard,56.4
T0230,26443,technical,2404,4,4,premium,34.2
T0231,26534,hardware,6599,4,4,premium,53.6
T0232,26627,billing,23325,2,1,standard,5
T0233,26750,technical,1072,1,3,standard,56.1
T0234,26890,technical,3530,4,3,standard,31
T0235,27324,account,1584,3,3,standard,51.1
T0236,27340,billing,837,4,2,premium,15.6
T0237,27365,network,917,4,2,enterprise,24.5
T0238,27495,general,2532,2,2,standard,79.8
T0239,27735,hardware,648,4,1,enterprise,57.7
T0240,28074,hardware,5937,1,1,standard,15.3
T0241,28186,technical,10871,1,1,premium,8.7
T0242,28226,billing,5677,1,2,enterprise,42.1
T0243,28504,general,2060,3,1,standard,28.5
T0244,28630,technical,5372,4,2,standard,36.5
T0245,28725,account,4260,1,3,standard,56.4
T0246,28748,network,7692,2,1,standard,91.3
T0247,28973,general,9076,2,1,standard,50.6
T0248,29007,account,2708,4,3,premium,68.7
T0249,29095,hardware,3044,3,4,standard,91.6
T0250,29223,technical,1186,1,1,standard,16
T0251,29338,account,5988,3,1,standard,55.8
T0252,29349,network,2758,1,1,premium,50.2
T0253,29365,general,8685,1,3,standard,76.2
T0254,29390,general,2984,4,2,premium,35.9
T0255,29480,billing,60,3,2,standard,57
T0256,29669,network,1037,2,1,enterprise,73.9
T0257,29767,technical,1942,2,4,premium,64.5
T0258,29966,hardware,876,1,3,standard,22.6
T0259,30210,account,4139,1,2,standard,22.1
T0260,30237,network,1603,2,1,standard,13.6
T0261,30276,account,6083,3,2,standard,69.6
T0262,30278,technical,9221,3,4,standard,86.9
T0263,30456,technical,5597,1,4,standard,35.2
T0264,30506,network,3154,1,4,premium,6.7
T0265,30629,technical,4852,2,3,standard,43.9
T0266,30654,billing,2568,2,2,enterprise,42.8
T0267,30703,account,502,4,1,premium,72.5
T0268,30725,technical,2967,1,3,standard,28.9
T0269,31202,account,2603,1,3,enterprise,1.9
T0270,31363,hardware,1508,1,2,standard,24.7
T0271,31549,general,5064,4,4,standard,6.1
T0272,31564,technical,2258,2,1,standard,22.9
T0273,31649,hardware,1772,3,2,premium,15.5
T0274,31834,account,4515,1,4,standard,38.1
T0275,31928,network,6058,4,2,premium,13.6
T0276,31956,hardware,2103,1,3,standard,21.5
T0277,32335,account,14575,1,2,standard,30.1
T0278,32447,billing,12341,2,2,standard,91.5
T0279,32656,network,701,4,1,standard,22.3
T0280,32666,hardware,703,4,4,enterprise,84.1
T0281,32705,general,60,1,3,premium,35
T0282,32763,account,1150,2,1,standard,72.4
T0283,32879,technical,3039,3,1,standard,75.1
T0284,32916,billing,6353,4,1,premium,22
T0285,32948,technical,1031,4,4,premium,69.5
T0286,33137,technical,5732,1,3,standard,46.2
T0287,33160,technical,17924,2,3,standard,40.2
T0288,33348,account,6169,2,4,premium,31.1
T0289,33563,network,1197,2,1,standard,35.7
T0290,33600,network,3736,4,4,standard,12.2
T0291,33840,technical,5695,4,3,premium,82.5
T0292,33900,general,772,1,4,premium,90.5
T0293,34099,billing,1769,2,2,standard,75
T0294,34308,account,2637,3,2,standard,85.4
T0295,34380,general,603,4,4,standard,4.6
T0296,34384,network,5810,1,3,standard,3.4
T0297,34470,technical,3347,2,4,enterprise,90.5
T0298,34654,technical,2869,1,1,premium,6.6
T0299,34720,billing,3904,4,1,premium,21.9
T0300,35167,network,60,1,4,standard,6.6
T0301,35553,account,12213,2,2,standard,45.5
T0302,35568,account,13659,3,4,premium,15
T0303,35573,billing,4928,3,1,standard,52.8
T0304,35632,billing,1728,2,4,premium,47.6
T0305,35634,general,6011,4,2,premium,24.8
T0306,35728,network,1349,1,2,premium,53.6
T0307,35752,billing,2083,2,2,standard,51.8
T0308,35908,billing,6243,3,4,enterprise,46.9
T0309,35927,technical,2881,3,1,premium,58.7
T0310,35941,billing,532,3,4,premium,41.6
T0311,35962,account,9018,1,4,premium,26.7
T0312,35988,general,5787,3,1,premium,78.3
T0313,36102,network,2540,1,1,standard,81.4
T0314,36322,hardware,60,2,1,premium,65.1
T0315,36492,hardware,3432,4,3,standard,37
T0316,36615,hardware,1322,3,2,premium,0.2
T0317,36639,billing,986,4,4,standard,38.6
T0318,36888,account,6940,4,1,standard,67.5
T0319,36894,account,4939,2,3,standard,30.9
T0320,37016,billing,6420,1,4,enterprise,20.1
T0321,37225,account,2525,4,2,premium,22.6
T0322,37281,billing,8728,3,3,premium,28.7
T0323,37304,network,3702,4,3,premium,95.1
T0324,37469,network,16211,4,1,standard,94
T0325,37490,network,4760,2,2,premium,89.2
T0326,37673,billing,10344,2,2,standard,44.3
T0327,37752,technical,14959,1,4,premium,4.8
T0328,38033,general,8182,1,4,standard,21.6
T0329,38050,technical,13819,4,1,standard,27.1
T0330,38056,billing,1742,3,3,premium,93.6
T0331,38111,technical,10060,1,2,standard,81.9
T0332,38117,network,4458,1,1,standard,74.1
T0333,38128,technical,7120,4,3,standard,84.7
T0334,38188,hardware,8369,4,2,standard,94
T0335,38207,network,1146,4,1,standard,90.9
T0336,38617,billing,120,2,1,standard,8.5
T0337,38755,account,21266,1,1,standard,52.1
T0338,38944,account,5125,2,2,premium,41.1
T0339,38962,network,1315,2,2,premium,44.2
T0340,39128,technical,8350,4,2,standard,93.9
T0341,39317,account,2242,3,1,standard,72.8
T0342,39486,billing,729,1,3,standard,24.5
T0343,39837,account,7502,2,1,standard,9
T0344,39888,technical,2676,4,3,standard,43.4
T0345,39949,billing,3141,3,3,standard,9
T0346,40002,hardware,1747,1,4,premium,18.8
T0347,40274,account,3205,4,2,standard,58.9
T0348,40329,general,999,4,2,standard,3.2
T0349,40383,network,9271,3,1,premium,92.9
T0350,40616,billing,7269,2,3,enterprise,46.6
T0351,40632,network,2107,4,4,enterprise,63
T0352,40648,network,527,1,4,premium,20.1
T0353,40706,general,2218,1,1,enterprise,10.6
T0354,40877,general,12504,3,4,standard,24.4
T0355,41082,general,4025,2,4,standard,8.4
T0356,41234,technical,12731,1,3,standard,58.9
T0357,41303,account,7234,1,4,premium,24.4
T0358,41307,network,607,2,3,standard,65.4
T0359,41329,network,25902,4,3,standard,32.7
T0360,41570,technical,2413,3,1,premium,39.2
T0361,41741,general,1431,3,1,standard,86.3
T0362,41867,general,60,3,3,standard,36.4
T0363,41898,technical,745,3,3,premium,46
T0364,41900,technical,149,2,2,standard,67.9
T0365,42333,hardware,6489,1,4,enterprise,59.6
T0366,42431,network,4108,4,3,standard,21
T0367,42446,billing,1650,2,1,standard,27.2
T0368,42655,billing,1386,3,2,standard,6.2
T0369,42907,general,2166,2,2,enterprise,60.1
T0370,42998,hardware,1814,2,4,standard,75.8
T0371,43100,network,1570,4,1,standard,70.8
T0372,43190,billing,10957,1,2,enterprise,2.4
T0373,43332,billing,13044,4,2,standard,32.7
T0374,43353,billing,15976,3,2,premium,61.4
T0375,43489,billing,1441,2,4,enterprise,25.2
T0376,43527,account,22276,1,4,standard,85.6
T0377,43527,billing,5003,2,3,standard,45.1
T0378,43599,account,5261,4,2,standard,45.5
T0379,43706,account,10395,2,1,premium,81
T0380,43747,account,3117,1,4,standard,4.3
T0381,43786,hardware,1808,1,1,standard,84.5
T0382,43888,billing,6076,3,2,standard,89.2
T0383,43910,technical,7068,4,4,premium,24.8
T0384,44045,technical,6844,3,4,premium,82.8
T0385,44045,network,9555,3,1,premium,24.6
T0386,44176,hardware,5868,2,1,standard,52.8
T0387,44453,technical,2091,3,1,standard,62
T0388,44578,general,4930,2,2,standard,11.1
T0389,44598,billing,5485,3,1,standard,79.6
T0390,45167,hardware,6410,2,4,standard,8.1
T0391,45228,general,8912,1,3,standard,78.4
T0392,45236,technical,10311,2,4,standard,52.1
T0393,45474,account,1385,2,4,standard,55.6
T0394,45645,billing,11902,4,4,standard,2.6
T0395,45704,account,3871,4,4,premium,4.3
T0396,45877,general,2242,1,2,standard,0.6
T0397,45935,hardware,4894,1,1,premium,51
T0398,46156,account,4429,1,3,standard,93.3
T0399,46187,general,4099,3,1,standard,20.1
T0400,46499,technical,2718,2,2,standard,46.8
T0401,46516,hardware,2498,2,4,standard,42.6
T0402,47148,account,499,1,3,standard,3
T0403,47572,hardware,21154,1,1,standard,16.2
T0404,47606,hardware,2378,2,2,premium,17
T0405,47691,network,1447,4,3,standard,15.9
T0406,47796,general,881,3,2,standard,75.1
T0407,47955,technical,2129,1,4,standard,70.2
T0408,47975,general,6701,4,2,standard,56.9
T0409,48084,technical,3312,4,2,premium,52.7
T0410,48091,network,3396,2,2,enterprise,91.1
T0411,48178,billing,7587,4,2,standard,47.2
T0412,48266,account,3143,3,3,enterprise,34.8
T0413,48422,general,3287,2,4,premium,56.8
T0414,48619,account,29984,1,4,standard,61.5
T0415,48661,technical,2019,2,3,standard,93.3
T0416,48691,network,7765,4,2,standard,83.7
T0417,48781,network,5584,4,4,standard,70.4
T0418,48871,hardware,25171,3,2,enterprise,8.6
T0419,48872,billing,2258,1,1,standard,0.5
T0420,49204,hardware,8945,3,1,premium,10
T0421,49265,network,1776,4,4,standard,29.4
T0422,49360,network,4647,1,4,standard,9.7
T0423,49604,network,647,3,2,standard,45.9
T0424,49623,network,5936,3,3,premium,38.5
T0425,49665,billing,1671,3,2,standard,80.9
T0426,49760,technical,185,1,3,standard,72.9
T0427,49785,network,10891,2,2,premium,53.2
T0428,49907,account,3359,4,2,standard,27.8
T0429,50006,billing,13427,3,4,standard,15.2
T0430,50263,hardware,6907,3,1,standard,9.9
T0431,50288,hardware,6779,4,2,premium,56
T0432,50363,technical,15233,1,4,enterprise,79.4
T0433,50380,account,10876,4,4,enterprise,90.5
T0434,50446,technical,14871,4,3,standard,4.1
T0435,50546,general,10041,4,3,standard,24.4
T0436,50796,billing,1762,4,3,premium,90.6
T0437,50833,account,5433,4,1,standard,47.9
T0438,50892,general,3489,3,4,premium,74
T0439,50892,general,1111,2,1,standard,69.1
T0440,50948,general,7080,4,2,premium,72.4
T0441,50952,technical,14423,3,4,premium,93.6
T0442,50958,network,3410,2,1,standard,4.1
T0443,51090,hardware,8226,2,1,standard,66.1
T0444,51124,general,9838,2,1,enterprise,3
T0445,51283,technical,12772,2,4,premium,84.3
T0446,51289,technical,7759,4,3,standard,21.1
T0447,51305,general,4625,1,2,standard,35.3
T0448,51330,technical,2180,1,1,premium,21.4
T0449,51453,account,4534,3,1,standard,84.4
T0450,51588,account,9561,1,3,standard,19.9
T0451,51608,general,6687,1,1,premium,45.4
T0452,51615,network,4713,2,4,standard,51
T0453,51741,network,4449,4,2,standard,69.7
T0454,51857,general,10144,2,3,standard,94.2
T0455,51947,general,967,4,3,premium,90.9
T0456,51997,network,4179,3,3,premium,66.2
T0457,52317,account,1413,3,4,standard,29
T0458,52489,technical,16078,1,2,premium,89.2
T0459,52660,account,1074,1,3,standard,82.9
T0460,52739,general,6058,1,1,enterprise,50.6
T0461,52799,network,623,4,4,standard,39
T0462,53166,account,1336,3,1,enterprise,16.9
T0463,53195,billing,77,4,4,premium,34.1
T0464,53338,technical,16499,2,2,standard,82
T0465,53516,technical,1426,1,3,premium,92.2
T0466,53689,general,4989,1,1,premium,36.2
T0467,53786,hardware,255,4,2,standard,49.4
T0468,53984,technical,1523,1,1,premium,0
T0469,54262,billing,24915,3,2,standard,49.2
T0470,54341,network,514,1,2,standard,42.7
T0471,54380,network,26380,4,1,standard,39.9
T0472,54605,general,11332,1,4,standard,80.6
T0473,54772,technical,16907,1,2,premium,21.6
T0474,54840,network,4474,3,1,standard,80.6
T0475,54859,technical,12641,3,2,standard,73.3
T0476,55066,general,4246,4,1,standard,28.4
T0477,55175,billing,5458,1,3,standard,84.4
T0478,55249,billing,9466,4,3,premium,74.3
T0479,55301,hardware,3915,1,1,standard,27.8
T0480,55622,technical,4272,2,1,standard,5.9
T0481,55676,network,1209,3,3,standard,42
T0482,55933,billing,1145,4,4,premium,61.5
T0483,55997,hardware,5080,2,2,premium,24.3
T0484,56035,billing,2219,3,3,standard,21.2
T0485,56208,account,875,1,4,standard,72.4
T0486,56210,technical,3936,1,1,premium,46.3
T0487,56264,general,5401,1,3,standard,75
T0488,56412,billing,19390,1,3,standard,17.3
T0489,56424,hardware,703,3,2,premium,33.1
T0490,56428,billing,828,1,2,premium,15.1
T0491,56443,hardware,6004,3,1,standard,30
T0492,56522,account,2645,4,4,standard,75.1
T0493,56538,hardware,5167,2,2,standard,53.7
T0494,56622,network,4127,1,4,standard,29.6
T0495,56701,billing,17590,4,2,enterprise,21.8
T0496,56955,hardware,6105,4,4,standard,78.4
T0497,57038,billing,2026,4,3,premium,94.3
T0498,57157,technical,960,4,1,standard,37.5
T0499,57182,technical,14760,1,1,premium,58.1
T0500,57216,technical,473,4,1,premium,6.9
